IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,digits_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dots_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,24.0,2.0,24.0,3.0,0.0,0.0,16.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,10.0,55.0,80055608.0,0.0
0.0,17.0,2.0,16.0,3.0,0.0,0.0,8.0,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,29.0,80205.0,0.0
0.0,57.0,1.0,19.0,2.0,0.0,0.0,15.0,9.0,38.0,5.0,11.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,28.0,80205.0,1.0
0.0,46.0,2.0,19.0,2.0,0.0,0.0,15.0,9.0,5.0,1.0,3.0,3.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,12.0,2.0,12.0,3.0,0.0,0.0,5.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,12.0,17.0,-1.0,0.0
0.0,22.0,2.0,21.0,3.0,0.0,0.0,10.0,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,14.0,13.0,2451.0,0.0
0.0,57.0,1.0,12.0,2.0,0.0,0.0,7.0,5.5,45.0,2.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,25.0,5.0,-1.0,1.0
0.0,20.0,2.0,19.0,3.0,0.0,0.0,11.0,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,3.0,61.0,-1.0,0.0
0.0,71.0,2.0,15.0,2.0,0.0,0.0,12.0,7.0,33.0,3.0,13.0,9.7,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,9.0,-1.0,1.0
0.0,45.0,1.0,9.0,2.0,0.0,0.0,6.0,4.0,36.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,4.0,-1.0,1.0
0.0,31.0,2.0,23.0,3.0,0.0,0.0,15.0,7.0,8.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,138.0,20.0,606541072.0,0.0
